searched_at,database,query,filters,result_count,screened_count,included_source_ids,reviewer
"2026-07-17","PubMed","(""Pu-erh tea""[Title/Abstract] OR ""Puer tea""[Title/Abstract] OR ""Pu'er tea""[Title/Abstract] OR ""Pu-Ehr""[Title/Abstract] OR Puerh[Title/Abstract] OR ""Puerh tea""[Title/Abstract]) AND (Humans[MeSH Terms] OR Clinical Trial[Publication Type] OR Randomized Controlled Trial[Publication Type])","No date or language restriction; PubMed ESearch API; retmax=500; corrected from 95-result query; full old/new ID lists and 18-ID set difference recorded in medicine.md; all new unique screened; PMID 20413147 excluded because survey/modelled exposure had no measured human biological or clinical outcome","113","113","fujita-2008-safety;fujita-2008-trial;kubota-2011;chu-2011;xie-2012;jensen-2016;yang-2014-weight;zielinska-przyjemska-2005","Codex internal evidence search; not a clinician"
"2026-07-17","PubMed","(""Pu-erh tea""[Title/Abstract] OR ""Puer tea""[Title/Abstract] OR ""Pu'er tea""[Title/Abstract]) AND (systematic review[Publication Type] OR meta-analysis[Publication Type])","No date or language restriction; PubMed ESearch API; retmax=200","1","1","yang-2019-systematic","Codex internal evidence search; not a clinician"
"2026-07-17","Crossref","Pu-erh tea","Crossref REST API query.title; type=journal-article; rows=0; fuzzy relevance search, not an exact-phrase filter","61862","0","","Codex internal evidence search; not a clinician"
"2026-07-17","Crossref","10.1111/ijfs.13966","Direct DOI lookup after citation chasing from the included pu-erh-specific systematic review; Crossref REST API","1","1","lin-2019-meta","Codex internal evidence search; not a clinician"
"2026-07-17","Wanfang Medical","普洱茶 临床","Default paper search; first results page screened by title/snippet","103","10","","Codex internal evidence search; not a clinician"
"2026-07-17","WHO eLENA","caffeine pregnancy","WHO intervention and linked antenatal-care guidance pages; site does not expose a stable query result count","not reported","2","who-pregnancy","Codex internal evidence search; not a clinician"
"2026-07-17","EFSA","caffeine safety pregnancy sleep","EFSA caffeine topic page and linked 2015 Scientific Opinion; site does not expose a stable query result count","not reported","2","efsa-caffeine","Codex internal evidence search; not a clinician"
"2026-07-17","FDA","caffeine tea individual sensitivity medications","FDA consumer update current as of 2024-08-28; site does not expose a stable query result count","not reported","1","fda-caffeine-2024","Codex internal evidence search; not a clinician"
"2026-07-17","SAMR National Standards Information Public Service Platform","普洱茶 贮存 霉变 异味 DB5308/T 53—2020","Official standard catalogue card and accessible 12-page standard text; catalogue did not expose a stable query result count","not reported","2","db5308-storage-2020","Codex internal evidence search; not a clinician"
"2026-07-18","ClinicalTrials.gov","NCT06401161","Direct registry lookup; record status unknown, last known enrolling by invitation; hasResults=false; registration is context only and not efficacy evidence","1","1","nct06401161","Codex internal evidence search; not a clinician"
"2026-07-21","Targeted publication update","10.1016/j.tifs.2025.105448; 10.31989/ffhd.v9i8.635; 10.7506/spkx1002-6630-20230929-261; 10.26599/FSHW.2025.9250750; 10.1002/advs.202519337","Direct DOI/journal/PubMed checks prompted by internal medical corpus audit; targeted update, not represented as a complete database rerun","5","5","zhao-2026-ripened-review;takeda-2019-powdered-beverage;sun-2024-y562-human;sun-2025-citrus-puer-human;li-2026-theabrownin-human","Codex internal evidence search; not a clinician"
"2026-07-21","ClinicalTrials.gov","NCT03613688","Direct registry lookup; registration describes Deepure extract study; no registry results counted as efficacy evidence","1","1","nct03613688","Codex internal evidence search; not a clinician"
"2026-07-21","UMIN / NIPH Clinical Trials Search","UMIN000053941","Direct registry lookup; status Complete: follow-up continuing; brewed-tea comparison; target n=70; опубликованных результатов нет, so the record is not counted as efficacy evidence","1","1","umin000053941","Codex internal evidence search; not a clinician"
"2026-07-21","PubMed / journal pages","PMID 37755960; PMID 35566203; PMID 34200490; PMID 39353305","Targeted mycotoxin update covering occurrence, dry-product analysis, spiked-matrix transfer, and direct commercial-product/infusion measurement; different questions are not pooled","4","4","qiu-2023-postfermented-fumonisins;li-2022-patulin-tea;kiseleva-2021-infusion-transfer;wan-2025-tea-infusion-mycotoxins","Codex internal evidence search; not a clinician"
